X,Y,OBJECTID,PPIN,NAME,STREET,CITY,STATE,ZIP,STFIP,SCHOOLYEAR
-86.54188175,32.47209608,1,2722,AUTAUGA ACADEMY,497 GOLSON RD,PRATTVILLE,AL,36067,1,2017-2018
-86.45787773,32.46905708,2,A0100060,CAMELLIA BAPTIST WEM,201 WOODVALE RD,PRATTVILLE,AL,36067,1,2017-2018
-86.42468572,32.49970009,3,A0500015,EAST MEMORIAL CHRISTIAN ACADEMY,1320 OLD RIDGE RD N,PRATTVILLE,AL,36066,1,2017-2018
-86.47206573,32.46080608,4,A0900032,FIRST PRESBYTERIAN KINDERGARTEN,211 S CHESTNUT ST,PRATTVILLE,AL,36067,1,2017-2018
-86.46688573,32.45990608,5,A1300011,FOUNTAIN CITY BAPTIST HOME SCHOOL,237 S NORTHINGTON ST,PRATTVILLE,AL,36067,1,2017-2018
-86.47044573,32.46171608,6,K9300030,FIRST BAPTIST PRESCHOOL AND KINDERGARTEN,138 S WASHINGTON ST,PRATTVILLE,AL,36067,1,2017-2018
-87.60052595,30.41120559,7,634,ST BENEDICT CATHOLIC SCHOOL,12786 ILLINOIS ST,ELBERTA,AL,36530,1,2017-2018
-87.90370005,30.60048063,8,645,CHRIST THE KING CATHOLIC SCHOOL,1503 MAIN ST,DAPHNE,AL,36526,1,2017-2018
-87.90094604,30.51002561,9,2176,MARIETTA JOHNSON SCHOOL OF ORGANIC EDUCATION,8 MARIETTA DR,FAIRHOPE,AL,36532,1,2017-2018
-87.71573999,30.56235362,10,1604001,ST PATRICK CATHOLIC SCHOOL,23070 HWY 59 N,ROBERTSDALE,AL,36567,1,2017-2018
-87.91115605,30.60226563,11,A0500005,BAYSIDE ACADEMY,303 DRYER AVE,DAPHNE,AL,36526,1,2017-2018
-87.71490598,30.40747559,12,A1170047,FAITH CHRISTIAN ACADEMY,18109 US HIGHWAY 98,FOLEY,AL,36535,1,2017-2018
-87.61383896,30.41106759,13,A1700003,BEREAN BAPTIST CHRISTIAN SCHOOL,27040 HWY 98 E,ELBERTA,AL,36530,1,2017-2018
-87.83659602,30.55442862,14,A1700032,ST MICHAEL CATHOLIC HIGH SCHOOL,11732 DICK HIGBEE RD,FAIRHOPE,AL,36532,1,2017-2018
-87.67221697,30.35676758,15,A9500035,VICTORY CHRISTIAN ACADEMY,20511 COUNTY ROAD 12,FOLEY,AL,36535,1,2017-2018
-85.13080032,31.91859001,16,2096,THE LAKESIDE SCHOOL,1020 LAKE DR,EUFAULA,AL,36027,1,2017-2018
-85.14638133,31.885024,17,A0900062,PARKVIEW CHRISTIAN SCHOOL,608 S EUFAULA AVE,EUFAULA,AL,36027,1,2017-2018
-87.12060294,32.97702017,18,1536,CAHAWBA CHRISTIAN ACADEMY,2415 MONTEVALLO RD,CENTREVILLE,AL,35042,1,2017-2018
-86.42909781,34.08400643,19,A0100302,MT PLEASANT CHRISTIAN SCHOOL,4111 SUSAN MOORE RD,BLOUNTSVILLE,AL,35031,1,2017-2018
-86.40467079,33.88833739,20,A0500034,VICTORY CHRISTIAN SCHOOL,4242 HWY 29,ONEONTA,AL,35121,1,2017-2018
-85.6982595,32.14261104,21,A0500013,CONECUH SPRINGS CHRISTIAN SCHOOL,220 HICKS INDUSTRIAL BLVD,UNION SPRINGS,AL,36089,1,2017-2018
-86.64135375,31.83613894,22,1897,FORT DALE ACADEMY,1100 GAMBLE ST,GREENVILLE,AL,36037,1,2017-2018
-85.81442261,33.71792037,23,306,SACRED HEART CATHOLIC SCHOOL,16 MORTON RD,ANNISTON,AL,36205,1,2017-2018
-85.7933156,33.65449636,24,1332,THE DONOHO SCHOOL,2501 HENRY RD,ANNISTON,AL,36207,1,2017-2018
-85.87275562,33.58949634,25,2507,TRINITY CHRISTIAN ACADEMY,1500 AIRPORT RD,OXFORD,AL,36203,1,2017-2018
-85.81299461,33.66877736,26,A1700019,IQRA MATH AND SCIENCE ACADEMY,1821 MCCALL DR,ANNISTON,AL,36207,1,2017-2018
-85.83019561,33.66954636,27,A1700035,SHARP DEAN SCHOOL OF CONTINUING STUDIES INC,1910 NOBLE ST,ANNISTON,AL,36201,1,2017-2018
-85.7733556,33.80481639,28,AA890005,JACKSONVILLE CHRISTIAN ACADEMY,831 ALEXANDRIA RD SW,JACKSONVILLE,AL,36265,1,2017-2018
-85.40654945,32.87310821,29,1693,CHAMBERS ACADEMY,15048 US HIGHWAY 431,LAFAYETTE,AL,36862,1,2017-2018
-85.20845939,32.87414522,30,2405,SPRINGWOOD SCHOOL,1814 CHERRY DR,LANETT,AL,36863,1,2017-2018
-85.17727638,32.8043902,31,2000279,TEMPLE CHRISTIAN SCHOOL,2615 64TH BLVD,VALLEY,AL,36854,1,2017-2018
-85.19351539,32.8180462,32,A0500002,ACTS ACADEMY,316 FOB JAMES DR,VALLEY,AL,36854,1,2017-2018
-86.73423583,32.93981617,33,AA000278,CHILTON CHRISTIAN ACADEMY,23240 US HIGHWAY 31,JEMISON,AL,35085,1,2017-2018
-88.2250792,32.08232794,34,1925896,PATRICIAN ACADEMY,901 S MULBERRY AVE,BUTLER,AL,36904,1,2017-2018
-88.31799922,31.9123209,35,1926186,SOUTH CHOCTAW ACADEMY,5245 NEW HOPE RD,TOXEY,AL,36921,1,2017-2018
-87.90795309,31.53777883,36,A0770089,THE JACKSON ACADEMY,1954 COFFEEVILLE RD,JACKSON,AL,36545,1,2017-2018
-85.81079158,33.24621027,37,A0500025,CLAY COUNTY CHRISTIAN ACADEMY,37993 HWY 77,ASHLAND,AL,36251,1,2017-2018
-85.79376958,33.28353828,38,A9900026,FIRST ASSEMBLY CHRISTIAN SCHOOL,85621 HWY 9,ASHLAND,AL,36251,1,2017-2018
-85.90226152,31.42441087,39,A9700032,PATHWAY INC,109 PRIVATE RD 1202,NEW BROCKTON,AL,36351,1,2017-2018
-85.8559005,31.31273485,40,A9700047,WIREGRASS CHRISTIAN ACADEMY,209 W COLLEGE ST,ENTERPRISE,AL,36330,1,2017-2018
-86.94698482,31.44610084,41,2391,SPARTA ACADEMY,300 PIERCE ST,EVERGREEN,AL,36401,1,2017-2018
-86.26925364,31.69386392,42,A0300019,CRENSHAW CHRISTIAN ACADEMY,608 COUNTRY CLUB DR,LUVERNE,AL,36049,1,2017-2018
-86.84156293,34.17792943,43,135,SACRED HEART ELEMENTARY,112 2ND AVE SE,CULLMAN,AL,35055,1,2017-2018
-86.83766593,34.17412643,44,1208,ST PAULS LUTHERAN SCHOOL,510 3RD AVE SE,CULLMAN,AL,35055,1,2017-2018
-86.88547895,34.27061445,45,1608833,VINEMONT CHRISTIAN ACADEMY,21325 US HIGHWAY 31,VINEMONT,AL,35179,1,2017-2018
-86.81623592,34.17361643,46,2113067,ST BERNARD PREPARATORY SCHOOL,1600 SAINT BERNARD AVE SE,CULLMAN,AL,35055,1,2017-2018
-86.84681593,34.16768643,47,A0900020,CULLMAN CHRISTIAN SCHOOL,708 7TH ST SW,CULLMAN,AL,35055,1,2017-2018
-85.65665145,31.43916389,48,A9900037,HARVEST CHRISTIAN SCHOOL,1694 DEESE RD,OZARK,AL,36360,1,2017-2018
-87.0762259,32.38909604,49,871,JOHN T MORGAN ACADEMY,2901 W DALLAS AVE,SELMA,AL,36701,1,2017-2018
-87.0619259,32.40478605,50,2198,MEADOWVIEW CHRISTIAN SCHOOL,1512 OLD ORRVILLE RD,SELMA,AL,36701,1,2017-2018
-87.04809589,32.42481605,51,A1592002,ELLWOOD CHRISTIAN ACADEMY,1 BELL RD,SELMA,AL,36701,1,2017-2018
-85.83236766,34.51371254,52,A0770032,CORNERSTONE CHRISTIAN ACADEMY,1600 MCCURDY AVE N,RAINSVILLE,AL,35986,1,2017-2018
-86.06658071,34.28081948,53,A9900003,BETH HAVEN CHRISTIAN ACADEMY,1424 COUNTY ROAD 471,CROSSVILLE,AL,35962,1,2017-2018
-86.29279369,32.54730811,54,1864,EDGEWOOD ACADEMY,5475 ELMORE RD,ELMORE,AL,36025,1,2017-2018
-86.37560071,32.5087591,55,2518,VICTORY BAPTIST SCHOOL,5480 MAIN ST,MILLBROOK,AL,36054,1,2017-2018
-86.3658227,32.5196151,56,2000359,NEW LIFE CHRISTIAN ACADEMY,4230 HWY 14 E,MILLBROOK,AL,36054,1,2017-2018
-86.40519271,32.48031209,57,A0100330,PRATTVILLE CHRISTIAN ACADEMY,322 OLD FARM LN N,PRATTVILLE,AL,36066,1,2017-2018
-86.10889864,32.61577913,58,A1500002,ADULLAM HOUSE CHRISTIAN ACADEMY,7469 GEORGIA RD,WETUMPKA,AL,36092,1,2017-2018
-87.40796293,31.03032574,59,1015,ESCAMBIA ACADEMY,268 COWPEN CREEK RD,ATMORE,AL,36502,1,2017-2018
-87.50638595,31.02109573,60,1608888,ATMORE CHRISTIAN SCHOOL,245 TENNANT DR,ATMORE,AL,36502,1,2017-2018
-87.49083595,31.00251573,61,A0300043,TEMPLE CHRISTIAN ACADEMY,1707 S MAIN ST,ATMORE,AL,36502,1,2017-2018
-85.98915568,34.02381643,62,33,ST JAMES CATHOLIC SCHOOL,511 EWING AVE,GADSDEN,AL,35901,1,2017-2018
-86.01352668,34.01484543,63,1321,EPISCOPAL DAY SCHOOL,156 S 9TH ST,GADSDEN,AL,35901,1,2017-2018
-86.04923669,33.99198842,64,2187186,COOSA CHRISTIAN SCHOOL,2736 WILLS CREEK RD,GADSDEN,AL,35904,1,2017-2018
-86.0644157,33.96584842,65,A0700031,WESTBROOK CHRISTIAN SCHOOL,100 WESTMINSTER DR,RAINBOW CITY,AL,35906,1,2017-2018
-86.02097369,34.01179843,66,A1100002,EXCEL INSTITUTE,1147 WALNUT ST,GADSDEN,AL,35901,1,2017-2018
-87.99459518,32.91440012,67,A0300028,LIGHTHOUSE CHRISTIAN SCHOOL,130 ALABAMA HWY 39,EUTAW,AL,35462,1,2017-2018
-87.58402606,32.69911409,68,2358,SOUTHERN ACADEMY,407 COLLEGE ST,GREENSBORO,AL,36744,1,2017-2018
-85.26162835,31.57701493,69,1026,ABBEVILLE CHRISTIAN ACADEMY,258 ML TILLIS DR,ABBEVILLE,AL,36310,1,2017-2018
-85.44906738,31.24401385,70,1503,HOUSTON ACADEMY,901 BUENA VISTA DR,DOTHAN,AL,36303,1,2017-2018
-85.43854538,31.20074584,71,2802,EMMANUEL CHRISTIAN SCHOOL,178 EARLINE RD,DOTHAN,AL,36305,1,2017-2018
-85.39185537,31.23283585,72,A0100037,BEULAH LAND CHRISTIAN ACADEMY,280 HEADLAND AVE,DOTHAN,AL,36303,1,2017-2018
-85.43659538,31.24052585,73,A9500037,WESTGATE CHRISTIAN SCHOOL,617 WESTGATE PKWY,DOTHAN,AL,36303,1,2017-2018
-85.38463036,31.20381384,74,BB180035,NEW DAY ACADEMY,700 E COTTONWOOD RD,DOTHAN,AL,36301,1,2017-2018
-85.58813861,34.87661863,75,3384,FLORAL CREST SCHOOL,1228 COUNTY ROAD 89,BRYANT,AL,35958,1,2017-2018
-85.62982563,34.90210663,76,2000494,MOUNTAIN VIEW CHRISTIAN ACADEMY,3665 ALABAMA HWY 73,BRYANT,AL,35958,1,2017-2018
-86.79631588,33.47581629,77,88,OUR LADY OF SORROWS,1720 OXMOOR RD,BIRMINGHAM,AL,35209,1,2017-2018
-86.78752588,33.49863629,78,146,ST ROSE OF LIMA SCHOOL,1401 22ND ST S,BIRMINGHAM,AL,35205,1,2017-2018
-86.72629486,33.56500831,79,204,ST BARNABAS REGIONAL SCHOOL,7901 1ST AVE N,BIRMINGHAM,AL,35206,1,2017-2018
-86.83279489,33.44394028,80,226,JOHN CARROLL CATHOLIC HIGH SCHOOL,300 LAKESHORE PKWY,BIRMINGHAM,AL,35209,1,2017-2018
-86.8813429,33.51011229,81,237,HOLY FAMILY CRISTO REY CATHOLIC HIGH SCHOOL,2001 19TH ST ENSLEY,BIRMINGHAM,AL,35218,1,2017-2018
-86.99699193,33.36097125,82,292,ST ALOYSIUS SCHOOL,751A ACADEMY DR,BESSEMER,AL,35022,1,2017-2018
-86.80752588,33.51931929,83,769,ADVENT EPISCOPAL DAY SCHOOL,2019 6TH AVE N,BIRMINGHAM,AL,35203,1,2017-2018
-86.64630584,33.54938631,84,882,JEFFERSON CHRISTIAN ACADEMY,1500 HERITAGE PL DR,IRONDALE,AL,35210,1,2017-2018
-86.89184591,33.5641763,85,1376,FORESTDALE BAPTIST,1400 BRISBANE AVE,BIRMINGHAM,AL,35214,1,2017-2018
-86.75430287,33.51162329,86,1398,NE MILES JEWISH DAY SCHOOL,4000 MONTCLAIR RD,BIRMINGHAM,AL,35213,1,2017-2018
-86.75824387,33.51378329,87,1616,THE ALTAMONT SCHOOL,4801 ALTAMONT RD S,BIRMINGHAM,AL,35222,1,2017-2018
-86.98130592,33.38009626,88,1853,DUNNAMS PRIVATE SCHOOL,811 GLENN RD,BESSEMER,AL,35022,1,2017-2018
-86.83286588,33.41406627,89,3078,HERITAGE CHRISTIAN ACADEMY,2290 OLD TYLER RD,HOOVER,AL,35226,1,2017-2018
-86.84445589,33.49476629,90,3216,EPHESUS ACADEMY,829 MCMILLON AVE SW,BIRMINGHAM,AL,35211,1,2017-2018
-86.69039585,33.60275632,91,1925885,CORNERSTONE MIDDLE HIGH SCHOOL,959 HUFFMAN RD,BIRMINGHAM,AL,35215,1,2017-2018
-86.79699988,33.47976829,92,2000574,CREATIVE MONTESSORI SCHOOL,2800 MONTESSORI WAY,BIRMINGHAM,AL,35209,1,2017-2018
-86.81853589,33.69098633,93,2000643,TABERNACLE CHRISTIAN SCHOOL,2649 DECATUR HWY,GARDENDALE,AL,35071,1,2017-2018
-86.8850949,33.49237129,94,2000676,CENTRAL PARK CHRISTIAN SCHOOLS,1900 43RD ST ENSLEY,BIRMINGHAM,AL,35208,1,2017-2018
-86.78856588,33.49888629,95,A0100027,ARLINGTON SCHOOL,1312 22ND ST S,BIRMINGHAM,AL,35205,1,2017-2018
-86.96008892,33.39314226,96,A0100036,BEULAH BAPTIST CHRISTIAN SCHOOL,1022 2ND AVE N,BESSEMER,AL,35020,1,2017-2018
-86.72686686,33.57661531,97,A0100059,CALVARY RESURRECTION CHRISTIAN ACADEMY,8440 5TH AVE N,BIRMINGHAM,AL,35206,1,2017-2018
-86.80799589,33.64881932,98,A0100184,CHILD ENRICHMENT CENTER,805 CREST DR,GARDENDALE,AL,35071,1,2017-2018
-86.65536585,33.73065634,99,A0100319,PALMERDALE UMC CHRISTIAN SCHOOL & CHILDREN'S CTR,7778 HWY 75,PINSON,AL,35126,1,2017-2018
-86.98610593,33.42393627,100,A0100404,DEEPER LIFE ACADEMY,2800 19TH ST N,HUEYTOWN,AL,35023,1,2017-2018
-86.85232589,33.37162626,101,A0500029,PRINCE OF PEACE CATHOLIC SCHOOL,4650 PRESERVE PKWY,HOOVER,AL,35226,1,2017-2018
-86.72624187,33.63128732,102,A0500036,WINEWOOD CHRISTIAN SCHOOL,2974 WINEWOOD RD,BIRMINGHAM,AL,35215,1,2017-2018
-86.8728609,33.43387427,103,A0509003,SPRING VALLEY SCHOOL,2701 SYDNEY DR,BIRMINGHAM,AL,35211,1,2017-2018
-86.96068592,33.40288626,104,A0700017,NEW LIFE CHRISTIAN SCHOOL OF EXCELLENCE,1622 7TH AVE N,BESSEMER,AL,35020,1,2017-2018
-86.73704286,33.42602928,105,A0770071,GODS HOUSE KINDERGARTEN & DAYCARE,4660 CALDWELL MILL RD,BIRMINGHAM,AL,35242,1,2017-2018
-86.66037584,33.47819629,106,A0900003,ALLAN COTT SCHOOL,150 GLENWOOD LN,BIRMINGHAM,AL,35242,1,2017-2018
-87.08561596,33.48799628,107,A0900042,HARVEST CHRISTIAN SCHOOL,7303 TAYLORS FERRY RD,BESSEMER,AL,35023,1,2017-2018
-86.72816586,33.5178963,108,A0900049,MCELWAIN CHRISTIAN ACADEMY,4445 MONTEVALLO RD,BIRMINGHAM,AL,35213,1,2017-2018
-86.92464591,33.47001628,109,A0900055,MT PILGRIM CHRISTIAN ACADEMY,6746 GRASSELLI RD,FAIRFIELD,AL,35064,1,2017-2018
-86.79795188,33.50236329,110,A0900084,UAB ENGEL THERAPEUTIC SCHOOL AND DAY TREATMENT,930 20TH ST S STE 357,BIRMINGHAM,AL,35294,1,2017-2018
-86.53155081,33.69047234,111,A1150004,CLEARLY KIDS CHRISTIAN ACADEMY,8051 GLENN RD,TRUSSVILLE,AL,35173,1,2017-2018
-86.81218589,33.64975632,112,A1170055,GFBC EDUCATION PROGRAMS/DAY SCHOOL,940 MAIN ST,GARDENDALE,AL,35071,1,2017-2018
-86.68911586,33.69314634,113,A1170057,FIRST BAPTIST CHURCH-PINSON,4036 SPRING ST,PINSON,AL,35126,1,2017-2018
-86.58388583,33.66596633,114,A1170147,NOAHS PARK WEEKDAY EARLY EDUCATION,5700 DEERFOOT PKWY,TRUSSVILLE,AL,35173,1,2017-2018
-86.8626059,33.53119629,115,A1300019,METROPOLITIAN SCHOOL OF TALENT AND THE ARTS,224 2ND ST THOMAS,BIRMINGHAM,AL,35214,1,2017-2018
-86.73013886,33.5488233,116,A1700015,HIGDON HILL SCHOOL,6869 5TH AVE S,BIRMINGHAM,AL,35212,1,2017-2018
-86.75706187,33.5218113,117,A1770018,THE RENAISSANCE ACADEMY PREP SCHOOL FOR BOYS,1220 50TH ST S,BIRMINGHAM,AL,35222,1,2017-2018
-86.75382187,33.5401383,118,A9500008,CORNERSTONE SCHOOLS OF ALABAMA,118 55TH ST N,BIRMIMNGHAM,AL,35232,1,2017-2018
-86.73891986,33.5496943,119,A9700022,MARANATHAN ACADEMY,10 67TH ST N,BIRMINGHAM,AL,35212,1,2017-2018
-86.73907886,33.5304033,120,A9703769,ALABAMA WALDORF SCHOOL,5901 CRESTWOOD BLVD,BIRMINGHAM,AL,35212,1,2017-2018
-86.81682589,33.66761632,121,A9900029,GARDENDALE CHRISTIAN ACADEMY,1800 DECATUR HWY,GARDENDALE,AL,35071,1,2017-2018
-86.70936186,33.59984831,122,A9900042,INTEGRITY CHRISTIAN ACADEMY,216 ROEBUCK DR,BIRMINGHAM,AL,35215,1,2017-2018
-86.79131588,33.48668629,123,A9900043,ISLAMIC ACADEMY OF ALABAMA,1810 25TH CT S,BIRMINGHAM,AL,35209,1,2017-2018
-86.63582584,33.65216633,124,A9900054,MOUNTAIN VIEW BAPTIST SCHOOL,5568 CHALKVILLE RD,BIRMINGHAM,AL,35235,1,2017-2018
-86.91466591,33.49094628,125,A9900066,RESTORATION ACADEMY,4600 CARNEGIE AVE,FAIRFIELD,AL,35064,1,2017-2018
-86.79523587,33.38835627,126,AA000153,HOOVER CHRISTIAN SCHOOL,2113 OLD ROCKY RIDGE RD,HOOVER,AL,35216,1,2017-2018
-86.78951387,33.43549428,127,AA001340,SOUTHMINSTER DAY SCHOOL,1124 MONTGOMERY HWY,VESTAVIA HILLS,AL,35216,1,2017-2018
-86.79530587,33.44548628,128,K9300016,ASCENSION EPISCOPAL KINDERGARTEN,1912 CANYON RD,VESTAVIA,AL,35216,1,2017-2018
-87.6593852,34.84621753,129,973,MARS HILL BIBLE SCHOOL,698 COX CREEK,FLORENCE,AL,35630,1,2017-2018
-87.6485402,34.83888853,130,2000723,RIVERHILL SCHOOL,2710 DARBY DR,FLORENCE,AL,35630,1,2017-2018
-87.69588521,34.84783553,131,A0100374,SHOALS CHRISTIAN SCHOOL,301 HEATHROW DR,FLORENCE,AL,35633,1,2017-2018
-87.53858517,34.85939454,132,A1100005,LEGACY CHRISTIAN ACADEMY,510 JC MAULDIN RD,KILLEN,AL,35645,1,2017-2018
-87.35854709,34.48315147,133,2000734,LAWRENCE COUNTY CHRISTIAN SCHOOL,10485 COUNTY ROAD 460,MOULTON,AL,35650,1,2017-2018
-85.05010833,32.53711815,134,962,GLENWOOD SCHOOL,5801 SUMMERVILLE RD,SMITHS STATION,AL,36877,1,2017-2018
-85.45021345,32.63775516,135,3001,LEE-SCOTT ACADEMY,1601 ACADEMY DR,AUBURN,AL,36830,1,2017-2018
-85.47991846,32.58732914,136,A0300025,HOLY TRINITY DAY SCHOOL,100 CHURCH DR,AUBURN,AL,36830,1,2017-2018
-85.42831344,32.64240216,137,A1500033,THE CHANTICLEER LEARNING CENTER,1109 SPRING DR,OPELIKA,AL,36801,1,2017-2018
-85.40287144,32.64697416,138,A1700001,AUBURN CLASSICAL ACADEMY INC.,1901-B WAVERLY PKWY,OPELIKA,AL,36801,1,2017-2018
-85.47851546,32.61450615,139,A1770017,THE CHILDREN'S HOUSE-AUBURN MONTESSORI,231 E DRAKE AVE,AUBURN,AL,36830,1,2017-2018
-85.08038934,32.49222014,140,A9900059,NEW TESTAMENT BAPTIST SCHOOL,9650 LEE RD 240,PHENIX CITY,AL,36870,1,2017-2018
-86.955855,34.79746355,141,1445,ATHENS BIBLE SCHOOL,507 S HOFFMAN ST,ATHENS,AL,35611,1,2017-2018
-86.93251599,34.78782655,142,A1100006,LINDSAY LANE CHRISTIAN ACADEMY,1300 LINDSAY LN S,ATHENS,AL,35613,1,2017-2018
-86.95201401,34.98648159,143,A1500035,THE PINNACLE SCHOOLS - ELK RIVER TREATMENT PROGRAM,29495 COPPERHEAD LN,ELKMONT,AL,35620,1,2017-2018
-86.61273676,32.27583904,144,995,LOWNDES ACADEMY,215 S BROAD ST,LOWNDESBORO,AL,36752,1,2017-2018
-85.71516952,32.4207961,145,372,ST JOSEPH CATHOLIC SCHOOL,2009 W MONTGOMERY RD,TUSKEGEE INSTITUTE,AL,36088,1,2017-2018
-86.60342589,34.73449655,146,55,HOLY FAMILY PAROCHIAL SCHOOL,2300 BEASLEY AVE NW,HUNTSVILLE,AL,35816,1,2017-2018
-86.57222088,34.69040855,147,77,HOLY SPIRIT REGIONAL CATHOLIC SCHOOL,619 AIRPORT RD,HUNTSVILLE,AL,35802,1,2017-2018
-86.58387889,34.69835655,148,1183,GRACE LUTHERAN SCHOOL,3321 S MEMORIAL PKWY,HUNTSVILLE,AL,35801,1,2017-2018
-86.67580192,34.75996356,149,1412,WESTMINSTER CHRISTIAN ACADEMY,237 JOHNS RD NW,HUNTSVILLE,AL,35806,1,2017-2018
-86.55809588,34.70633655,150,1605,RANDOLPH SCHOOL,1005 DRAKE AVE SE,HUNTSVILLE,AL,35802,1,2017-2018
-86.49064586,34.66824655,151,3271,BIG COVE CHRISTIAN ACADEMY,6354 HWY 431 S,OWENS CROSS ROADS,AL,35763,1,2017-2018
-86.69260592,34.74491655,152,A0100214,HUNTSVILLE CHRISTIAN ACADEMY,175 W PARK LOOP NW,HUNTSVILLE,AL,35806,1,2017-2018
-86.53706587,34.66863654,153,A0100428,WILLOWBROOK WEEKDAY EARLY EDUCATION PROGRAM,7625 BAILEY COVE RD SE,HUNTSVILLE,AL,35802,1,2017-2018
-86.54763587,34.59778653,154,A0307029,THE MONTESSORI SCHOOL OF HUNTSVILLE,15975 CHANEY THOMPSON RD SE,HUNTSVILLE,AL,35803,1,2017-2018
-86.57007288,34.66958954,155,A0509004,WHITESBURG CHRISTIAN ACADEMY,7290 WHITESBURG DR SW,HUNTSVILLE,AL,35802,1,2017-2018
-86.65983891,34.75876656,156,A0700018,OAKWOOD ADVENTIST ACADEMY,7000 ADVENTIST BLVD NW,HUNTSVILLE,AL,35896,1,2017-2018
-86.58436589,34.73167656,157,A0700024,SUSANNA WESLEY EARLY EDUCATION MINISTRY,120 GREENE ST SE,HUNTSVILLE,AL,35801,1,2017-2018
-86.6110359,34.73917656,158,A0900039,GREENGATE SCHOOL,2800 POPLAR AVE NW UNIT B,HUNTSVILLE,AL,35816,1,2017-2018
-86.58647589,34.72045655,159,A0900063,THE PINNACLE SCHOOL,500 GOVERNORS DR SW,HUNTSVILLE,AL,35801,1,2017-2018
-86.57704588,34.67657654,160,A1100017,THE RILEY BEHAVIORAL AND EDUCATIONAL CENTER,4092 MEMORIAL PKWY SW STE 105,HUNTSVILLE,AL,35802,1,2017-2018
-86.72561593,34.78778656,161,A1300037,WESTMINSTER CHRISTIAN ACAD - LOWER SCHOOL CAMPUS,375 MOUNT ZION RD,MADISON,AL,35757,1,2017-2018
-86.58381789,34.74531856,162,A1770009,LINCOLN ACADEMY,1110 MERIDIAN ST,HUNTSVILLE,AL,35801,1,2017-2018
-86.68485492,34.75606756,163,A9100122,THE COUNTRY DAY SCHOOL,1699 OLD DRY CREEK RD NW,HUNTSVILLE,AL,35806,1,2017-2018
-86.59220789,34.69767855,164,A9500023,MRS RONDAS MONTESSORI SCHOOL,3102 LEEMAN FERRY RD SW,HUNTSVILLE,AL,35801,1,2017-2018
-86.68835992,34.79987256,165,A9900005,CALVARY BAPTIST ACADEMY,126 DOUGLASS RD NW,HUNTSVILLE,AL,35806,1,2017-2018
-86.69515292,34.71002455,166,A9900007,ST JOHN PAUL II CATHOLIC HIGH SCHOOL,7301 OLD MADISON PIKE,HUNTSVILLE,AL,35806,1,2017-2018
-86.73988993,34.73354655,167,A9900071,ST JOHN THE BAPTIST CATHOLIC SCHOOL,1057 HUGHES RD,MADISON,AL,35758,1,2017-2018
-86.76958594,34.73861655,168,AA890009,MADISON BAPTIST ACADEMY,840 BALCH RD,MADISON,AL,35758,1,2017-2018
-86.6219559,34.72798655,169,AA890014,VALLEY FELLOWSHIP CHRISTIAN ACADEMY,3616 HOLMES AVE NW,HUNTSVILLE,AL,35816,1,2017-2018
-86.55438588,34.68553655,170,K9500005,MAYFAIR CHILD DEVELOPMENT CENTER,1095 CARL T JONES DR SE,HUNTSVILLE,AL,35802,1,2017-2018
-87.79396909,32.285703,171,827,MARENGO ACADEMY HIGH SCHOOL,2103 S MAIN ST,LINDEN,AL,36748,1,2017-2018
-87.84450612,32.49855604,172,A1100019,WEST ALABAMA CHRISTIAN SCHOOL,1504 CARDINAL ST,DEMOPOLIS,AL,36732,1,2017-2018
-86.23815576,34.31143648,173,A0700013,MARSHALL CHRISTIAN ACADEMY,1631 BRASHERS CHAPEL RD,ALBERTVILLE,AL,35951,1,2017-2018
-88.11310511,30.67837764,174,474,ST PIUS X SCHOOL,217 S SAGE AVE,MOBILE,AL,36606,1,2017-2018
-88.0710551,30.69073064,175,496,ST MARY CATHOLIC SCHOOL,107 N LAFAYETTE ST,MOBILE,AL,36604,1,2017-2018
-88.13991612,30.70649464,176,532,ST IGNATIUS CATHOLIC SCHOOL,3650 SPRING HILL AVE,MOBILE,AL,36608,1,2017-2018
-88.14707211,30.64069463,177,543,ST DOMINIC CATHOLIC SCHOOL,4160 BURMA RD,MOBILE,AL,36693,1,2017-2018
-88.05339209,30.69627864,178,576,MOST RERE HEART OF MARY CATHOLIC SCHOOL,310 SENGSTAK ST,MOBILE,AL,36603,1,2017-2018
-88.0902061,30.67442564,179,598,LITTLE FLOWER CATHOLIC SCHOOL,2103 GOVERNMENT ST,MOBILE,AL,36606,1,2017-2018
-88.13405611,30.69809564,180,758,ST PAUL'S EPISCOPAL SCHOOL,161 DOGWOOD LN,MOBILE,AL,36608,1,2017-2018
-88.10502511,30.79893866,181,929,EVANGEL CHRISTIAN SCHOOL,1277 JUBILEE DR,SARALAND,AL,36571,1,2017-2018
-88.15560612,30.64973563,182,1751,COTTAGE HILL CHRISTIAN ACADEMY AT WEST CAMPUS,4255 COTTAGE HILL RD,MOBILE,AL,36609,1,2017-2018
-88.0552241,30.85386368,183,2314,SATSUMA CHRISTIAN SCHOOL,5600 OLD HWY 43,SATSUMA,AL,36572,1,2017-2018
-88.12296811,30.64909863,184,2551,GOVERNMENT STREET CHRISTIAN SCHOOL,3401 GOVERNMENT BLVD,MOBILE,AL,36693,1,2017-2018
-88.25044617,31.13489573,185,2799,WESLEYAN CHRISTIAN ACADEMY,21276 US HIGHWAY 45,CITRONELLE,AL,36522,1,2017-2018
